LocalTime;CPUTemp
08/04/2025 04:47;48
08/04/2025 04:47;48
08/04/2025 04:48;47
08/04/2025 04:48;48
08/04/2025 04:48;47
08/04/2025 04:48;47
08/04/2025 04:48;47
08/04/2025 04:48;47
08/04/2025 04:48;47
08/04/2025 04:48;46
08/04/2025 04:48;46
08/04/2025 04:48;46
08/04/2025 04:48;46
08/04/2025 04:48;46
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:49;45
08/04/2025 04:50;46
08/04/2025 04:50;48
08/04/2025 04:50;48
08/04/2025 04:50;48
08/04/2025 04:50;48
08/04/2025 04:50;48
08/04/2025 04:50;48
08/04/2025 04:50;47
08/04/2025 04:50;47
08/04/2025 04:50;47
08/04/2025 04:50;47
08/04/2025 04:50;47
08/04/2025 04:51;47
08/04/2025 04:51;47
08/04/2025 04:51;47
08/04/2025 04:51;46
08/04/2025 04:51;46
08/04/2025 04:51;46
08/04/2025 04:51;46
08/04/2025 04:51;46
08/04/2025 04:51;46
08/04/2025 04:51;46
08/04/2025 04:51;46
08/04/2025 04:51;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:52;46
08/04/2025 04:53;46
08/04/2025 04:53;46
08/04/2025 04:53;46
08/04/2025 04:53;46
08/04/2025 04:53;47
08/04/2025 04:53;47
08/04/2025 04:53;47
08/04/2025 04:53;47
08/04/2025 04:53;47
08/04/2025 04:53;47
08/04/2025 04:53;47
08/04/2025 04:53;47
08/04/2025 04:54;46
08/04/2025 04:54;47
08/04/2025 04:54;47
08/04/2025 04:54;46
08/04/2025 04:54;46
08/04/2025 04:54;47
08/04/2025 04:54;46
08/04/2025 04:54;46
08/04/2025 04:54;46
08/04/2025 04:54;46
08/04/2025 04:54;46
08/04/2025 04:54;46
08/04/2025 04:55;46
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;47
08/04/2025 04:55;49
08/04/2025 04:56;52
08/04/2025 04:56;55
08/04/2025 04:56;56
08/04/2025 04:56;58
08/04/2025 04:56;59
08/04/2025 04:56;58
08/04/2025 04:56;57
08/04/2025 04:56;58
08/04/2025 04:56;60
08/04/2025 04:56;60
08/04/2025 04:56;59
08/04/2025 04:56;61
08/04/2025 04:57;63
08/04/2025 04:57;62
08/04/2025 04:57;61
08/04/2025 04:57;59
08/04/2025 04:57;60
08/04/2025 04:57;62
08/04/2025 04:57;67
08/04/2025 04:57;65
08/04/2025 04:57;62
08/04/2025 04:57;61
08/04/2025 04:57;61
08/04/2025 04:57;63
08/04/2025 04:58;65
08/04/2025 04:58;68
08/04/2025 04:58;72
08/04/2025 04:58;72
08/04/2025 04:58;75
08/04/2025 04:58;75
08/04/2025 04:58;77
08/04/2025 04:58;78
08/04/2025 04:58;74
08/04/2025 04:58;69
08/04/2025 04:58;66
08/04/2025 04:58;64
08/04/2025 04:59;64
08/04/2025 04:59;66
08/04/2025 04:59;67
08/04/2025 04:59;67
08/04/2025 04:59;64
08/04/2025 04:59;62
08/04/2025 04:59;63
08/04/2025 04:59;63
08/04/2025 04:59;61
08/04/2025 04:59;62
08/04/2025 04:59;64
08/04/2025 04:59;70
08/04/2025 05:00;67
08/04/2025 05:00;65
08/04/2025 05:00;70
08/04/2025 05:00;71
08/04/2025 05:00;76
08/04/2025 05:00;71
08/04/2025 05:00;65
08/04/2025 05:00;68
08/04/2025 05:00;70
08/04/2025 05:00;75
08/04/2025 05:00;70
08/04/2025 05:00;64
08/04/2025 05:01;63
08/04/2025 05:01;61
08/04/2025 05:01;59
08/04/2025 05:01;58
08/04/2025 05:01;57
08/04/2025 05:01;57
08/04/2025 05:01;60
08/04/2025 05:01;63
08/04/2025 05:01;68
08/04/2025 05:01;74
08/04/2025 05:01;77
08/04/2025 05:01;80
08/04/2025 05:02;81
08/04/2025 05:02;83
08/04/2025 05:02;84
08/04/2025 05:02;86
08/04/2025 05:02;87
08/04/2025 05:02;88
08/04/2025 05:02;88
08/04/2025 05:02;88
08/04/2025 05:02;89
08/04/2025 05:02;89
08/04/2025 05:02;89
08/04/2025 05:02;89
08/04/2025 05:03;87
08/04/2025 05:03;83
08/04/2025 05:03;77
08/04/2025 05:03;73
08/04/2025 05:03;68
08/04/2025 05:03;67
08/04/2025 05:03;72
08/04/2025 05:03;76
08/04/2025 05:03;80
08/04/2025 05:03;83
08/04/2025 05:03;84
08/04/2025 05:03;84
08/04/2025 05:04;84
08/04/2025 05:04;84
08/04/2025 05:04;85
08/04/2025 05:04;78
08/04/2025 05:04;71
08/04/2025 05:04;68
08/04/2025 05:04;72
08/04/2025 05:04;75
08/04/2025 05:04;79
08/04/2025 05:04;81
08/04/2025 05:04;79
08/04/2025 05:04;82
08/04/2025 05:05;85
08/04/2025 05:05;88
08/04/2025 05:05;90
08/04/2025 05:05;90
08/04/2025 05:05;91
08/04/2025 05:05;92
08/04/2025 05:05;92
08/04/2025 05:05;92
08/04/2025 05:05;91
08/04/2025 05:05;92
08/04/2025 05:05;93
08/04/2025 05:05;93
08/04/2025 05:06;93
08/04/2025 05:06;93
08/04/2025 05:06;88
08/04/2025 05:06;84
08/04/2025 05:06;85
08/04/2025 05:06;79
08/04/2025 05:06;71
08/04/2025 05:06;68
08/04/2025 05:06;64
08/04/2025 05:06;62
08/04/2025 05:06;62
08/04/2025 05:06;61
08/04/2025 05:07;59
